Index,Clade,Clade_and_StateRegion,Type,Symb_Tol,Type_and_StateRegion,Gene,Isolate,Redundancy,Potential_Pseudogene_Ref,Species,Methodology,Genbank,Genbank_link,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Host_Sci_Name,Host_tol,AphiaID,Environment,Ocean,Host_and_Ocean,Host_and_StateRegion,Country,StateRegion,T_MMM_05,SubRegion,Locale,Latitude,Longitude,Coordinate_Precision,Min_Depth,Max_Depth,Start_Year_Collect,End_Year_Collect,Ref,Reference,Ref_link
0,A,"A, Kanagawa Hayama",A1,0.566,"A1, Kanagawa Hayama",ITS,HPiH-1,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,sequencing,AB097463,http://www.ncbi.nlm.nih.gov/nuccore/AB097463,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Pteraeolidia,ianthina,Pteraeolidia ianthina,0.711,213527,culture,Pacific,"Pteraeolidia ianthina, Pacific","Pteraeolidia ianthina, Kanagawa Hayama",Japan,Kanagawa Hayama,28.54,N_A,N_A,"352,679,528","1,395,660,417",3500,N_A,N_A,N_A,N_A,Ishikura_2004_Mar_Biotech_6_378,"Ishikura M, Hagiwara K, Takishita K, Haga M, Iwai K, Maruyama T (2004) Isolation of new Symbiodinium strains from Tridacnid giant clam (Trdacna crocea) and sea slug (Pteraeolidia ianthina) using culture medium containing giant clam tissue homogenate. Marine Biotechnology 6, 378-385.",http://www.springerlink.com/content/8y52l37gwkm57hmt/
1,A,"A, Kagoshima",A1,0.566,"A1, Kagoshima",ITS,Five0504,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,cloning,AB253789,http://www.ncbi.nlm.nih.gov/nuccore/AB253789,Cnidaria,Anthozoa,Zoanthidea,Zoanthidae,Zoanthus,vietnamensis,Zoanthus vietnamensis,0.711,288846,in hospite,Pacific,"Zoanthus vietnamensis, Pacific","Zoanthus vietnamensis, Kagoshima",Japan,Kagoshima,28.54,Sakurajima,Hakamagoshi,31.35,130.35,15000,3,3,2005,2005,Reimer_2007_Phycol_Res_55_58,"Reimer J, Ono S, Tsukahara J, Takishita K, Maruyama T (2007) Non-seasonal and subclade microvariation in symbiotic dinoflagellates (Symbiodinium spp.) in Zoanthus sansibaricus (Anthozoa: Hexacorallia) at Kagoshima Bay, Japan. Phycological Research 55, 58-65.",http://www3.interscience.wiley.com/journal/118536438/abstract
2,A,"A, Florida",A1,0.566,"A1, Florida",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,Symbiodinium microadriaticum sub. microadriaticum,DGGE,AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,xamachana ,Cassiopea xamachana,0.711,287172,culture,Caribbean,"Cassiopea xamachana, Caribbean","Cassiopea xamachana, Florida",United States,Florida,30.25,N_A,N_A,27.5,-81.5,750000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,"LaJeunesse T (2001) Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker. Journal of Phycology 37, 866-880.",http://www3.interscience.wiley.com/journal/118994400/abstract
3,A,"A, N_A",A1,0.566,"A1, N_A",ITS,culture (Cx),N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,sequencing,AF427466,http://www.ncbi.nlm.nih.gov/nuccore/AF427466,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,xamachana ,Cassiopea xamachana,0.711,287172,culture,Caribbean,"Cassiopea xamachana, Caribbean","Cassiopea xamachana, N_A",Jamaica,N_A,29.186,N_A,N_A,"1,813,265","-772,958,889",125000,N_A,N_A,N_A,N_A,Santos_2002_Mol_Phylogenet_Evol_23_97,"Santos S, Taylor D, Kinzie III RA, Hidaka M, Sakai K, Coffroth MA (2002) Molecular phylogeny of symbiotic dinoflagellates inferred from partial chloroplast large subunit (23S)-rDNA sequences. Molecular Phylogenetics and Evolution 23, 97-111.",http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6WNH-4627PGJ-1-R&_cdi=6963&_user=996227&_orig=browse&_coverDate=05%2F31%2F2002&_sk=999769997&view=c&wchp=dGLbVlz-zSkzV&md5=e480d1a54e0ae4657a4c7caa3ef5d186&ie=/sdarticle.pdf
4,A,"A, Gulf of Aqaba",A1,0.566,"A1, Gulf of Aqaba",ITS,C20B-J,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,sequencing,AJ311946,http://www.ncbi.nlm.nih.gov/nuccore/AJ311946,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Red Sea,"Millepora sp., Red Sea","Millepora sp., Gulf of Aqaba",Israel,Gulf of Aqaba,29.186,Eilat,N_A,"295,497,306","349,562,056",2500,N_A,N_A,1999,1999,Pochon_2001_Mar_Biol_139_1069,"Pochon X, Pawlowski J, Zaninetta L, Rowan R (2001) High genetic diversity and relative specificity among Symbiodinium-like endosymbiotic dinoflagellates in soritid foraminiferans. Marine Biology 139, 1069-1078.",http://www.springerlink.com/content/cfw2cm0tl5pft83d/?p=eb8c83718d564a3fbeb70dd9b990ef5b&pi=5
5,A,"A, Gulf of Aqaba",A1,0.566,"A1, Gulf of Aqaba",ITS,C3B-J,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,sequencing,AJ311947,http://www.ncbi.nlm.nih.gov/nuccore/AJ311947,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,sp.,Acropora sp.,0.608,205469,in hospite,Red Sea,"Acropora sp., Red Sea","Acropora sp., Gulf of Aqaba",Israel,Gulf of Aqaba,29.186,Eilat,N_A,"295,497,306","349,562,056",2500,N_A,N_A,1999,1999,Pochon_2001_Mar_Biol_139_1069,"Pochon X, Pawlowski J, Zaninetta L, Rowan R (2001) High genetic diversity and relative specificity among Symbiodinium-like endosymbiotic dinoflagellates in soritid foraminiferans. Marine Biology 139, 1069-1078.",http://www.springerlink.com/content/cfw2cm0tl5pft83d/?p=eb8c83718d564a3fbeb70dd9b990ef5b&pi=5
6,A,"A, Gulf of Aqaba",A1,0.566,"A1, Gulf of Aqaba",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,DGGE,same_as_AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,andromeda,Cassiopea andromeda,0.711,135295,culture,Red Sea,"Cassiopea andromeda, Red Sea","Cassiopea andromeda, Gulf of Aqaba",Israel,Gulf of Aqaba,29.186,Eilat,N_A,"295,497,306","349,562,056",5000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,"LaJeunesse T (2001) Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker. Journal of Phycology 37, 866-880.",http://www3.interscience.wiley.com/journal/118994400/abstract
7,A,"A, Gulf of Aqaba",A1,0.566,"A1, Gulf of Aqaba",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,DGGE,same_as_AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,Stylophora pistillata,0.436,206982,culture,Red Sea,"Stylophora pistillata, Red Sea","Stylophora pistillata, Gulf of Aqaba",Israel,Gulf of Aqaba,29.186,Eilat,N_A,"295,497,306","349,562,056",5000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,"LaJeunesse T (2001) Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker. Journal of Phycology 37, 866-880.",http://www3.interscience.wiley.com/journal/118994400/abstract
8,A,"A, Quintana Roo",A1,0.566,"A1, Quintana Roo",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,DGGE,same_as_AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,xamachana ,Cassiopea xamachana,0.711,287172,in hospite,Caribbean,"Cassiopea xamachana, Caribbean","Cassiopea xamachana, Quintana Roo",Mexico,Quintana Roo,29.186,Puerto Morelos,N_A,20.5,-86.52,4000,0.5,0.5,1998,1999,LaJeunesse_2002_Mar_Biol_141_387,"LaJeunesse T (2002) Diversity and community structure of symbiotic dinoflagellates from Caribbean coral reefs. Marine Biology 141, 387-400.",http://www.springerlink.com/content/4magydv1cmrgn7kr/?p=57ad39a7eb934febb450a37537b61884&pi=18
9,A,"A, Hawaiian Islands",A1,0.566,"A1, Hawaiian Islands",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,cloning,same_as_AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora cytherea,0.575,207095,in hospite,Pacific,"Acropora cytherea, Pacific","Acropora cytherea, Hawaiian Islands",United States,Hawaiian Islands,29.186,French Frigate Shoals,N_A,"238,496,833","-1,662,974,333",100,15,20,2006,2005,Stat_2008_Biol_Invasions_10_579,"Stat M & Gates RD (2008) Vectored introductions of marine endosymbiotic dinoflagellates into Hawaii. Biological Invasions 10, 579-583.",http://www.springerlink.com/content/vwj30gt72407051w/
